i, x, uh, u0
0,0.0314159,0.0980564,0.0985359
1,0.0942478,0.290361,0.291781
2,0.15708,0.471389,0.473694
3,0.219911,0.634109,0.63721
4,0.282743,0.772202,0.775978
5,0.345575,0.880305,0.88461
6,0.408407,0.954219,0.958885
7,0.471239,0.991074,0.995921
8,0.534071,0.989438,0.994277
9,0.596903,0.949376,0.954018
10,0.659734,0.872442,0.876708
11,0.722566,0.761625,0.765349
12,0.785398,0.621228,0.624266
13,0.84823,0.456705,0.458938
14,0.911062,0.274444,0.275786
15,0.973894,0.0815247,0.0819234
16,1.03673,-0.114561,-0.115121
17,1.09956,-0.306197,-0.307694
18,1.16239,-0.485941,-0.488318
19,1.22522,-0.646813,-0.649976
20,1.28805,-0.782564,-0.786391
21,1.35088,-0.887923,-0.892265
22,1.41372,-0.958797,-0.963486
23,1.47655,-0.992434,-0.997287
24,1.53938,-0.987527,-0.992357
25,1.60221,-0.944268,-0.948886
26,1.66504,-0.864336,-0.868563
27,1.72788,-0.750835,-0.754507
28,1.79071,-0.608174,-0.611149
29,1.85354,-0.441893,-0.444054
30,1.91637,-0.258451,-0.259715
31,1.9792,-0.0649703,-0.0652881
32,2.04204,0.131033,0.131674
33,2.10487,0.321948,0.323522
34,2.1677,0.500359,0.502806
35,2.23053,0.659337,0.662562
36,2.29336,0.792709,0.796586
37,2.35619,0.895294,0.899672
38,2.41903,0.963108,0.967818
39,2.48186,0.993518,0.998376
40,2.54469,0.985342,0.99016
41,2.60752,0.938898,0.943489
42,2.67035,0.85599,0.860176
43,2.73319,0.739837,0.743455
44,2.79602,0.594952,0.597861
45,2.85885,0.426959,0.429047
46,2.92168,0.242385,0.243571
47,2.98451,0.0483979,0.0486346
48,3.04734,-0.147469,-0.14819
49,3.11018,-0.337609,-0.33926
50,3.17301,-0.514637,-0.517154
51,3.23584,-0.671678,-0.674963
52,3.29867,-0.802633,-0.806558
53,3.3615,-0.902416,-0.906829
54,3.42434,-0.967151,-0.971881
55,3.48717,-0.994325,-0.999188
56,3.55,-0.982882,-0.987688
57,3.61283,-0.933266,-0.93783
58,3.67566,-0.847405,-0.851549
59,3.7385,-0.728633,-0.732197
60,3.80133,-0.581563,-0.584407
61,3.86416,-0.411907,-0.413921
62,3.92699,-0.226253,-0.227359
63,3.98982,-0.031812,-0.0319676
64,4.05265,0.163864,0.164666
65,4.11549,0.353177,0.354904
66,4.17832,0.528773,0.531358
67,4.24115,0.683832,0.687176
68,4.30398,0.812334,0.816306
69,4.36681,0.909287,0.913733
70,4.42965,0.970925,0.975673
71,4.49248,0.994856,0.999721
72,4.55531,0.980149,0.984942
73,4.61814,0.927375,0.93191
74,4.68097,0.838585,0.842686
75,4.7438,0.717227,0.720734
76,4.80664,0.568013,0.570791
77,4.86947,0.396739,0.398679
78,4.9323,0.210057,0.211085
79,4.99513,0.0152173,0.0152917
80,5.05796,-0.180214,-0.181095
81,5.1208,-0.368646,-0.370449
82,5.18363,-0.542761,-0.545415
83,5.24646,-0.695796,-0.699199
84,5.30929,-0.821809,-0.825828
85,5.37212,-0.915905,-0.920384
86,5.43496,-0.974429,-0.979194
87,5.49779,-0.995109,-0.999976
88,5.56062,-0.977142,-0.981921
89,5.62345,-0.921226,-0.925731
90,5.68628,-0.829532,-0.833588
91,5.74911,-0.70562,-0.709071
92,5.81195,-0.554305,-0.557015
93,5.87478,-0.381461,-0.383327
94,5.93761,-0.193803,-0.194751
95,6.00044,0.00138173,0.00138848
96,6.06327,0.196513,0.197474
97,6.12611,0.384012,0.38589
98,6.18894,0.556598,0.55932
99,6.25177,0.707566,0.711026
